StockCode,Description,Total_Quantity,Total_Revenue,Total_Orders,Average_Daily_Demand,Maximum_Daily_Demand,Safety_Stock,Reorder_Level,Inventory_Status
21653,GLASS ETCHED T-LIGHT HOLDER LARGE,1246,2565.67,111,11.225225225225225,144,1512.0,78.57657657657657,Healthy
21654,RIDGED GLASS FINGER BOWL,215,324.22999999999996,24,8.958333333333334,72,756.0,62.708333333333336,Healthy
21655,HANGING RIDGE GLASS T-LIGHT HOLDER,1360,2216.66,87,15.632183908045977,108,1134.0,109.42528735632185,Healthy
21656,RIDGED GLASS POSY VASE ,770,1183.3999999999999,95,8.105263157894736,72,756.0,56.73684210526315,Healthy
21657,MILK BOTTLE WITH GLASS STOPPER ,240,1841.75,106,2.2641509433962264,12,126.0,15.849056603773585,Healthy
21658,GLASS  BEURRE DISH,1379,5724.67,319,4.363924050632911,30,315.0,30.54746835443038,Overstock
21659,GLASS CAKE STAND,120,1891.7,66,1.8181818181818181,12,126.0,12.727272727272727,Healthy
21661,VINTAGE GLASS TEA CADDY,236,1493.46,95,2.4842105263157896,12,126.0,17.38947368421053,Healthy
21662,VINTAGE GLASS COFFEE CADDY,187,1219.31,83,2.253012048192771,12,126.0,15.771084337349398,Healthy
21663,VINTAGE GLASS SUGAR CADDY,76,488.16,32,2.375,12,126.0,16.625,Healthy
21664,RIDGED GLASS STORAGE JAR CREAM LID,169,714.6,52,3.25,24,252.0,22.75,Healthy
21665,TRIANGULAR RIDGED GLASS POSY HOLDER,879,638.8,75,11.72,84,882.0,82.04,Healthy
21666, RIDGED GLASS T-LIGHT HOLDER,952,552.12,14,68.0,504,5292.0,476.0,Healthy
21666,RIDGED GLASS T-LIGHT HOLDER,397,271.18,29,13.689655172413794,48,504.0,95.82758620689656,Healthy
21667,GLASS CAKE COVER AND PLATE,352,6096.349999999999,162,2.1728395061728394,12,126.0,15.209876543209877,Overstock
21668,RED STRIPE CERAMIC DRAWER KNOB,4897,6476.88,394,12.460559796437659,192,2016.0,87.2239185750636,Overstock
21669,BLUE STRIPE CERAMIC DRAWER KNOB,5417,6879.92,391,13.854219948849105,192,2016.0,96.97953964194373,Overstock
21670,BLUE SPOT CERAMIC DRAWER KNOB,4590,6099.8,403,11.389578163771713,192,2016.0,79.72704714640199,Overstock
21671,RED SPOT CERAMIC DRAWER KNOB,5150,6372.09,367,14.032697547683924,192,2016.0,98.22888283378747,Overstock
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,6180,7703.91,413,14.963680387409202,192,2016.0,104.74576271186442,Overstock
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,5849,7456.31,411,14.231143552311435,384,4032.0,99.61800486618004,Healthy
21674,RIDGED GLASS PENDANT LAMPSHADE,43,680.8499999999999,9,4.777777777777778,12,126.0,33.44444444444444,Healthy
21675,BUTTERFLIES STICKERS,1189,1042.3799999999999,165,7.206060606060606,36,378.0,50.442424242424245,Overstock
21676,FLOWERS  STICKERS,955,664.51,101,9.455445544554456,120,1260.0,66.1881188118812,Healthy
21677,HEARTS  STICKERS,1341,1171.37,169,7.93491124260355,60,630.0,55.544378698224854,Overstock
21678,PAISLEY PATTERN  STICKERS,455,318.75,51,8.92156862745098,120,1260.0,62.450980392156865,Healthy
21679,SKULLS  STICKERS,3791,3060.17,238,15.928571428571429,576,6048.0,111.5,Healthy
21680,WOODLAND  STICKERS,2059,1757.6399999999999,172,11.970930232558139,288,3024.0,83.79651162790697,Healthy
21681,GIANT MEDINA STAMPED METAL BOWL ,231,2214.91,77,3.0,24,252.0,21.0,Healthy
21682,LARGE MEDINA STAMPED METAL BOWL ,397,1935.63,100,3.97,72,756.0,27.790000000000003,Healthy
21683,MEDIUM MEDINA STAMPED METAL BOWL ,652,1888.4300000000003,98,6.653061224489796,96,1008.0,46.57142857142857,Healthy
21684,SMALL MEDINA STAMPED METAL BOWL ,964,783.64,61,15.80327868852459,360,3780.0,110.62295081967214,Healthy
21685,MEDINA STAMPED METAL TRAY ,3,44.849999999999994,2,1.5,2,21.0,10.5,Restock Soon
21686,MEDINA STAMPED METAL STOOL,31,1148.45,14,2.2142857142857144,6,63.0,15.5,Healthy
21687,SILVER PLATE CANDLE BOWL LARGE,477,1871.23,101,4.7227722772277225,72,756.0,33.05940594059406,Healthy
21688,SILVER PLATE CANDLE BOWL SMALL,607,1874.1800000000003,92,6.5978260869565215,55,577.5,46.18478260869565,Healthy
21689,SILVER VANILLA  FLOWER CANDLE POT,248,902.0,35,7.085714285714285,96,1008.0,49.599999999999994,Healthy
21690,SILVER  CANDLEPOT JARDIN ,254,975.84,79,3.2151898734177213,24,252.0,22.50632911392405,Healthy
21691,SILVER VANILLA FLOWER CANDLE POT,249,960.99,72,3.4583333333333335,12,126.0,24.208333333333336,Healthy
21692,SILVER LATTICE VANILLA CANDLE POT,493,1872.87,107,4.607476635514018,48,504.0,32.25233644859813,Healthy
21693,SMALL HAMMERED SILVER CANDLEPOT ,544,1649.89,76,7.157894736842105,42,441.0,50.10526315789474,Healthy
21694,SMALL REGAL  SILVER CANDLEPOT ,273,823.6300000000001,49,5.571428571428571,18,189.0,39.0,Healthy
21695,SMALL SILVER FLOWER CANDLE POT,358,1129.9,63,5.682539682539683,45,472.5,39.77777777777778,Healthy
21696,SMALL SILVER TRELLIS CANDLEPOT,544,1637.7500000000002,78,6.9743589743589745,27,283.5,48.82051282051282,Healthy
21697,SET 5 MINI DOUGHNUT FRIDGE MAGNET ,372,295.08000000000004,7,53.142857142857146,240,2520.0,372.0,Healthy
21698,MOCK LOBSTER FRIDGE MAGNET,240,244.79999999999998,73,3.287671232876712,36,378.0,23.013698630136986,Healthy
21699,SET 5 MINI CHOCOLATE FRIDGE MAGNETS,108,82.44,3,36.0,72,756.0,252.0,Restock Soon
21700,BIG DOUGHNUT FRIDGE MAGNETS,4695,4842.87,342,13.890532544378699,240,2520.0,97.23372781065089,Healthy
21702,SET 5 MINI GATEAUX  FRIDGE MAGNETS,2636,918.6800000000001,8,329.5,2040,21420.0,2306.5,Healthy
21703,BAG 125g SWIRLY MARBLES,5405,2212.58,275,19.654545454545456,192,2016.0,137.5818181818182,Overstock
21704,BAG 250g SWIRLY MARBLES,12155,9304.07,333,36.5015015015015,1944,20412.0,255.5105105105105,Healthy
21705,BAG 500g SWIRLY MARBLES,1104,1748.49,91,12.131868131868131,96,1008.0,84.92307692307692,Healthy
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",916,2962.82,104,8.807692307692308,144,1512.0,61.65384615384616,Healthy
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,93,507.33000000000004,35,2.657142857142857,12,126.0,18.599999999999998,Healthy
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",775,3077.01,69,11.231884057971014,300,3150.0,78.6231884057971,Healthy
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,70,344.28000000000003,29,2.413793103448276,12,126.0,16.89655172413793,Healthy
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,379,1260.25,53,7.150943396226415,48,504.0,50.056603773584904,Healthy
21708,FOLDING UMBRELLA CREAM POLKADOT,43,218.07000000000002,13,3.3076923076923075,12,126.0,23.153846153846153,Healthy
21709,FOLDING UMBRELLA  CHOC/WHITE  SPOT,533,2115.77,49,10.877551020408163,300,3150.0,76.14285714285714,Healthy
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,32,163.62,11,2.909090909090909,12,126.0,20.363636363636363,Healthy
21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,584,1549.34,49,11.918367346938776,168,1764.0,83.42857142857143,Healthy
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,39,213.93,20,1.95,4,42.0,13.65,Healthy
21711,FOLDING UMBRELLA  WHITE/RED  SPOT,262,953.0,28,9.357142857142858,48,504.0,65.5,Healthy
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,18,104.76,9,2.0,4,42.0,14.0,Healthy
21713,CITRONELLA CANDLE FLOWERPOT,1961,3361.32,237,8.274261603375528,96,1008.0,57.9198312236287,Healthy
21714,CITRONELLA CANDLE GARDEN POT,2635,3178.01,299,9.023972602739725,432,4536.0,63.16780821917808,Healthy
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,2234,5510.63,259,8.625482625482626,224,2352.0,60.37837837837838,Healthy
21716,BOYS VINTAGE TIN SEASIDE BUCKET,2309,5618.0199999999995,258,8.949612403100776,224,2352.0,62.647286821705436,Healthy
21717,EASTER TIN BUCKET,1147,3097.7599999999998,136,8.433823529411764,64,672.0,59.03676470588235,Healthy
21718,RED METAL BEACH SPADE ,2551,3156.93,241,10.5850622406639,400,4200.0,74.0954356846473,Healthy
21719,LOVELY BONBON STICKER SHEET,593,534.52,91,6.516483516483516,36,378.0,45.61538461538461,Healthy
21720,CAKE SHOP  STICKER SHEET,1024,892.41,106,9.660377358490566,100,1050.0,67.62264150943396,Healthy
21721,CANDY SHOP  STICKER SHEET,944,862.41,120,7.866666666666666,72,756.0,55.06666666666666,Healthy
21722,SWEET PUDDING STICKER SHEET,265,248.24999999999997,48,5.520833333333333,84,882.0,38.64583333333333,Healthy
21723,ALPHABET HEARTS STICKER SHEET,498,446.13,82,6.073170731707317,50,525.0,42.51219512195122,Healthy
21724,PANDA AND BUNNIES STICKER SHEET,630,570.64,105,6.0,36,378.0,42.0,Healthy
21725,SWEETIES  STICKERS,856,785.18,130,6.584615384615384,84,882.0,46.09230769230769,Healthy
21726,MULTI HEARTS  STICKERS,868,751.7199999999999,119,7.294117647058823,100,1050.0,51.05882352941176,Healthy
21728,METAL MEDINA LANTERN ,298,2773.11,40,7.45,204,2142.0,52.15,Healthy
21729,SMALL MARAKESH METAL  LANTERN ,124,422.9,30,4.133333333333334,32,336.0,28.933333333333337,Healthy
21730,GLASS STAR FROSTED T-LIGHT HOLDER,752,3714.46,191,3.93717277486911,18,189.0,27.56020942408377,Overstock
21731,RED TOADSTOOL LED NIGHT LIGHT,15695,25588.56,720,21.79861111111111,720,7560.0,152.59027777777777,Overstock
21732,RED HANGING METAL STAR TLIGHT HLDR,925,3214.57,58,15.948275862068966,352,3696.0,111.63793103448276,Healthy
21733,RED HANGING HEART T-LIGHT HOLDER,10088,28242.68,1066,9.54399243140965,324,3402.0,66.80794701986756,Overstock
21734,SMALL MARAKESH LANTERN ON STICK,97,529.49,29,3.3448275862068964,12,126.0,23.413793103448274,Healthy
21735,TWO DOOR CURIO CABINET,675,8925.699999999999,185,3.6486486486486487,114,1197.0,25.54054054054054,Healthy
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,113,256.47,22,5.136363636363637,12,126.0,35.95454545454545,Healthy
21737,SET 3 WICKER LOG BASKETS,398,7362.66,164,2.426829268292683,104,1092.0,16.98780487804878,Healthy
21738,COSY SLIPPER SHOES SMALL  RED ,396,1245.93,118,3.3559322033898304,36,378.0,23.491525423728813,Healthy
21739,COSY SLIPPER SHOES SMALL GREEN,255,793.0200000000001,70,3.642857142857143,12,126.0,25.5,Overstock
21740,COSY SLIPPER SHOES LARGE RED,201,698.0100000000001,66,3.0923076923076924,18,189.0,21.646153846153847,Healthy
21741,COSY SLIPPER SHOES LARGE GREEN,586,1913.9,155,3.7806451612903227,36,378.0,26.46451612903226,Healthy
21742,LARGE ROUND WICKER PLATTER ,245,1498.3700000000001,104,2.355769230769231,8,84.0,16.490384615384617,Overstock
21743,STAR PORTABLE TABLE LIGHT ,1144,3310.1200000000003,147,7.782312925170068,96,1008.0,54.476190476190474,Healthy
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,394,1225.1000000000001,97,4.104166666666667,13,136.5,28.729166666666668,Overstock
21745,GAOLERS KEYS DECORATIVE GARDEN ,1797,5845.59,277,6.487364620938628,204,2142.0,45.411552346570396,Healthy
21746,SMALL RED RETROSPOT WINDMILL,2042,2593.75,189,10.804232804232804,192,2016.0,75.62962962962962,Healthy
21746,SMALL RED SPOT  WINDMILL,852,1116.44,76,11.210526315789474,192,2016.0,78.47368421052632,Healthy
21747,SMALL SKULL WINDMILL,1564,1806.74,99,15.797979797979798,300,3150.0,110.58585858585859,Healthy
21749,LARGE RED RETROSPOT WINDMILL,753,1565.8100000000002,96,7.84375,96,1008.0,54.90625,Healthy
21749,LARGE RED SPOT WINDMILL,2945,5554.92,52,56.63461538461539,816,8568.0,396.44230769230774,Healthy
21750, LARGE SKULL WINDMILL,8,16.8,2,4.0,6,63.0,28.0,Restock Soon
21750,LARGE SKULL WINDMILL,214,452.17,37,5.783783783783784,48,504.0,40.48648648648649,Healthy
21752,GLASS CAKE STAND MIRRORED BASE,77,1244.81,37,2.081081081081081,12,126.0,14.567567567567568,Healthy
21754,HOME BUILDING BLOCK WORD,5037,30851.27,1331,3.804380664652568,36,378.0,26.630664652567976,Overstock
21755,LOVE BUILDING BLOCK WORD,3715,22920.53,1091,3.4145220588235294,36,378.0,23.901654411764707,Overstock
21756,BATH BUILDING BLOCK WORD,846,5215.900000000001,327,2.5950920245398774,24,252.0,18.165644171779142,Overstock
21757,LIGHTHOUSE PRINTED METAL SIGN,74,424.6,39,1.8974358974358974,8,84.0,13.282051282051281,Healthy
21758,VINTAGE SHELLS PRINT,88,680.46,50,1.76,6,63.0,12.32,Healthy
21759,METAL WALL SHELF UNIT WITH HOOKS,30,1274.47,13,2.3076923076923075,14,147.0,16.153846153846153,Healthy
21760,FRENCH STYLE WALL DRESSER,15,1740.0,12,1.25,3,31.5,8.75,Healthy
21761,WOOD AND GLASS MEDICINE CABINET,57,1575.15,16,3.5625,15,157.5,24.9375,Healthy
21763,VINTAGE WOODEN BAR STOOL,37,988.15,13,2.8461538461538463,8,84.0,19.923076923076923,Healthy
21764,VINTAGE WOODEN PLATE RACK,17,659.1500000000001,11,1.5454545454545454,4,42.0,10.818181818181818,Healthy
21765,HANGING METAL BIRD BATH,371,3076.39,143,2.5944055944055946,36,378.0,18.160839160839163,Healthy
21767,FRENCH STYLE WIRE DOOR CABINET ,1,29.95,1,1.0,1,10.5,7.0,Restock Soon
21768,WALL MOUNTED VINTAGE ORGANISER,497,6756.09,163,3.049079754601227,201,2110.5,21.34355828220859,Healthy
21769,VINTAGE POST OFFICE CABINET,123,7954.87,48,2.5625,34,357.0,17.9375,Healthy
21770,OPEN CLOSED METAL SIGN,1353,6883.370000000001,263,5.144486692015209,684,7182.0,36.01140684410647,Healthy
21772,VINTAGE METAL CAKE STAND CREAM ,1,12.75,1,1.0,1,10.5,7.0,Restock Soon
21773,DECORATIVE ROSE BATHROOM BOTTLE,493,782.8199999999999,152,3.2649006622516556,24,252.0,22.85430463576159,Healthy
21774,DECORATIVE CATS BATHROOM BOTTLE,649,1043.86,193,3.3626943005181347,96,1008.0,23.53886010362694,Healthy
21775,DECORATIVE FLORE BATHROOM BOTTLE,367,629.51,143,2.5664335664335662,12,126.0,17.965034965034963,Overstock
21777,RECIPE BOX WITH METAL HEART,1126,9075.51,367,3.068119891008174,72,756.0,21.47683923705722,Healthy
21779,MA CAMPAGNE MINI WOODEN CHEST,301,1097.8000000000002,22,13.681818181818182,32,336.0,95.77272727272727,Healthy
21780,MA CAMPAGNE 4 DRAWER WALL SHELF,203,1745.8500000000001,32,6.548387096774194,16,168.0,45.83870967741936,Healthy
21781,MA CAMPAGNE CUTLERY BOX,493,7553.62,267,1.8533834586466165,32,336.0,12.973684210526315,Healthy
21784,SHOE SHINE BOX ,241,2984.81,140,1.7214285714285715,16,168.0,12.05,Healthy
21785,RAIN PONCHO ,1597,1249.23,98,16.29591836734694,144,1512.0,114.07142857142857,Healthy
21786,POLKADOT RAIN HAT ,1391,581.68,84,17.17283950617284,288,3024.0,120.20987654320987,Healthy
21786,RAIN HAT WITH RED SPOTS,4457,1688.2,157,28.388535031847134,576,6048.0,198.71974522292993,Healthy
21787,RAIN PONCHO RETROSPOT,1582,1232.29,74,21.37837837837838,432,4536.0,149.64864864864865,Healthy
21787,RAIN PONCHO WITH RED SPOTS,4727,3592.97,161,29.54375,576,6048.0,206.80625,Healthy
21788,KIDS RAIN MAC BLUE,2106,1716.25,122,17.262295081967213,144,1512.0,120.8360655737705,Healthy
21789,KIDS RAIN MAC PINK,2022,1657.99,129,15.674418604651162,144,1512.0,109.72093023255813,Healthy
21790,VINTAGE SNAP CARDS,13383,11553.289999999999,1001,13.409819639278558,320,3360.0,93.86873747494991,Overstock
21791,VINTAGE HEADS AND TAILS CARD GAME ,10668,13422.58,744,14.43572395128552,400,4200.0,101.05006765899864,Overstock
21792,CLASSIC FRENCH STYLE BASKET GREEN ,151,1033.73,66,2.287878787878788,16,168.0,16.015151515151516,Healthy
21793,CLASSIC FRENCH STYLE BASKET BROWN,49,330.75,28,1.75,3,31.5,12.25,Healthy
21794,CLASSIC FRENCH STYLE BASKET NATURAL,194,1372.56,75,2.5866666666666664,16,168.0,18.106666666666666,Healthy
21795,SET OF 3 BLUE STRIPE BASKET,441,3734.9400000000005,80,5.5125,327,3433.5,38.5875,Healthy
21796,SET OF 3 RED STRIPE BASKETS,324,2782.19,67,4.835820895522388,229,2404.5,33.850746268656714,Healthy
21801,CHRISTMAS TREE DECORATION WITH BELL,2502,1088.45,149,16.79194630872483,72,756.0,117.54362416107382,Overstock
21802,CHRISTMAS TREE HEART DECORATION,2609,1148.44,160,16.40880503144654,72,756.0,114.86163522012578,Overstock
21803,CHRISTMAS TREE STAR DECORATION,2427,1058.54,142,17.091549295774648,102,1071.0,119.64084507042253,Overstock
21804,WHITE CHRISTMAS GARLAND STARS TREES,387,1478.82,78,4.961538461538462,36,378.0,34.73076923076923,Healthy
21805,WHITE CHRISTMAS TREE DECORATION ,2221,957.63,103,21.563106796116504,144,1512.0,150.94174757281553,Healthy
21806,WHITE CHRISTMAS HEART DECORATION,2707,1179.4299999999998,128,21.1484375,144,1512.0,148.0390625,Healthy
21807,WHITE CHRISTMAS STAR DECORATION,2957,1306.57,150,19.713333333333335,144,1512.0,137.99333333333334,Healthy
21808,"CHRISTMAS GARLAND STARS,TREES",834,2126.45,98,8.510204081632653,36,378.0,59.57142857142857,Overstock
21809,CHRISTMAS HANGING TREE WITH BELL,1081,1361.33,98,11.03061224489796,144,1512.0,77.21428571428572,Healthy
21810,CHRISTMAS HANGING STAR WITH BELL,1169,1473.97,104,11.240384615384615,144,1512.0,78.6826923076923,Healthy
21811,CHRISTMAS HANGING HEART WITH BELL,1596,2041.1399999999999,153,10.431372549019608,144,1512.0,73.01960784313725,Healthy
21812,GARLAND WITH HEARTS AND BELLS,440,2330.7000000000003,112,3.9285714285714284,24,252.0,27.5,Healthy
21813,GARLAND WITH STARS AND BELLS,293,1677.23,85,3.4069767441860463,12,126.0,23.848837209302324,Overstock
21814,HEART T-LIGHT HOLDER ,611,928.04,83,7.36144578313253,24,252.0,51.53012048192771,Overstock
21815, STAR  T-LIGHT HOLDER ,25,42.61,8,3.125,12,126.0,21.875,Healthy
21815,STAR  T-LIGHT HOLDER ,553,854.53,64,8.640625,24,252.0,60.484375,Overstock
21816,CHRISTMAS TREE T-LIGHT HOLDER,391,592.39,44,8.886363636363637,24,252.0,62.20454545454545,Healthy
21817,GLITTER CHRISTMAS TREE,854,728.3299999999999,79,10.810126582278482,48,504.0,75.67088607594937,Healthy
21818,GLITTER CHRISTMAS HEART ,1653,1393.94,131,12.618320610687023,144,1512.0,88.32824427480917,Healthy
21819,GLITTER CHRISTMAS STAR ,1426,1222.95,129,11.054263565891473,36,378.0,77.37984496124031,Overstock
21820,GLITTER HEART GARLAND WITH BELLS ,499,1899.28,99,5.040404040404041,60,630.0,35.282828282828284,Healthy
21821,GLITTER STAR GARLAND WITH BELLS ,472,1898.01,100,4.72,60,630.0,33.04,Healthy
21822,GLITTER CHRISTMAS TREE WITH BELLS,350,700.76,49,7.142857142857143,30,315.0,50.0,Healthy
21823,PAINTED METAL HEART WITH HOLLY BELL,1110,1619.79,122,9.098360655737705,96,1008.0,63.68852459016394,Healthy
21824,PAINTED METAL STAR WITH HOLLY BELLS,884,1276.6699999999998,99,8.929292929292929,96,1008.0,62.505050505050505,Healthy
21825,PAINTED METAL TREE WITH HOLLY BELLS,733,1053.1899999999998,75,9.773333333333333,96,1008.0,68.41333333333333,Healthy
21826,EIGHT PIECE DINOSAUR SET,1700,2188.06,214,7.94392523364486,192,2016.0,55.60747663551402,Healthy
21827,EIGHT PIECE CREEPY CRAWLIE SET,834,1067.64,133,6.2706766917293235,48,504.0,43.89473684210527,Healthy
21828,EIGHT PIECE SNAKE  SET,783,978.39,102,7.676470588235294,192,2016.0,53.73529411764706,Healthy
21829,DINOSAUR KEYRINGS ASSORTED,8372,1809.4599999999998,240,34.88333333333333,432,4536.0,244.18333333333334,Healthy
21830,ASSORTED CREEPY CRAWLIES,5354,2213.39,171,31.309941520467838,576,6048.0,219.16959064327486,Healthy
21832,CHOCOLATE CALCULATOR,2477,4230.89,277,8.942238267148014,200,2100.0,62.595667870036095,Healthy
21833,CAMOUFLAGE LED TORCH,3831,6613.92,291,13.164948453608247,204,2142.0,92.15463917525773,Healthy
21836,GINGHAM OVEN GLOVE RED HEART ,247,996.39,99,2.494949494949495,14,147.0,17.464646464646464,Healthy
21837,CROSS STITCH ALPHABET CUSHION COVER,244,1622.64,91,2.681318681318681,15,157.5,18.769230769230766,Healthy
21838,DADDY MOUSE RED GINGHAM BOW TIE,1,5.45,1,1.0,1,10.5,7.0,Restock Soon
21839,MUMMY MOUSE RED GINGHAM RIBBON,200,1080.14,82,2.4390243902439024,36,378.0,17.073170731707318,Healthy
21841,BABY MOUSE RED GINGHAM DRESS,364,1547.22,111,3.279279279279279,36,378.0,22.954954954954953,Healthy
21842,PINK HEART CANDY BUTTON CALCULATOR,551,1308.74,47,11.72340425531915,100,1050.0,82.06382978723404,Healthy
21843,RED RETROSPOT CAKE STAND,2758,28640.239999999998,685,4.055882352941176,204,2142.0,28.391176470588235,Healthy
21843,RETRO SPOT CAKE STAND,1493,16354.009999999998,340,4.4171597633136095,144,1512.0,30.920118343195266,Healthy
21844,RED RETROSPOT MUG,2102,6007.620000000001,194,10.835051546391753,108,1134.0,75.84536082474227,Healthy
21844,RETRO SPOT MUG,1481,4343.01,154,9.616883116883116,72,756.0,67.31818181818181,Healthy
21845,DAIRY MAID STRIPE MUG,633,2091.21,78,8.115384615384615,70,735.0,56.80769230769231,Healthy
21846,PINK DIAMANTE PEN IN GIFT BOX,1201,2700.43,170,7.064705882352941,150,1575.0,49.45294117647059,Healthy
21847,GREEN  DIAMANTE PEN IN GIFT BOX,272,500.69,39,6.9743589743589745,120,1260.0,48.82051282051282,Healthy
21849,SILVER DIAMANTE PEN IN GIFT BOX,485,1053.15,74,6.554054054054054,96,1008.0,45.87837837837838,Healthy
21850,BLUE  DIAMANTE PEN IN GIFT BOX,330,639.07,59,5.593220338983051,72,756.0,39.152542372881356,Healthy
21851,LILAC DIAMANTE PEN IN GIFT BOX,503,1089.63,95,5.294736842105263,126,1323.0,37.06315789473684,Healthy
21852,EMPIRE TEDDY,2,13.9,2,1.0,1,10.5,7.0,Restock Soon
21853,GUMBALL CUSTOM CARS TOP TRUMPS GAME,3,15.399999999999999,3,1.0,1,10.5,7.0,Restock Soon
21854,EURO FOOTBALL STARS TOP TRUMPS GAME,1,5.17,1,1.0,1,10.5,7.0,Restock Soon
21857,STAR WARS TOP TRUMPS GAME,2,10.23,2,1.0,1,10.5,7.0,Restock Soon
21858,HIGH SCHOOL MUSICAL 3 TOP TRUMPS ,2,10.23,2,1.0,1,10.5,7.0,Restock Soon
21860,DR WHO TOP TRUMPS GAME,1,5.17,1,1.0,1,10.5,7.0,Restock Soon
21864,UNION JACK FLAG PASSPORT COVER ,1132,2639.89,237,4.776371308016878,120,1260.0,33.434599156118146,Healthy
21865,PINK UNION JACK  PASSPORT COVER ,631,1483.53,197,3.203045685279188,36,378.0,22.421319796954315,Healthy
21866,UNION JACK FLAG LUGGAGE TAG,1462,2388.7599999999998,271,5.4148148148148145,100,1050.0,37.9037037037037,Healthy
21867,PINK UNION JACK  LUGGAGE TAG,818,1111.3799999999999,176,4.6477272727272725,100,1050.0,32.53409090909091,Healthy
21868,POTTING SHED TEA MUG,6758,8123.97,599,11.282136894824708,432,4536.0,78.97495826377296,Healthy
21869,POTTING SHED COFFEE MUG,1264,1469.5800000000002,111,11.387387387387387,216,2268.0,79.7117117117117,Healthy
21870,I CAN ONLY PLEASE ONE PERSON MUG,4970,6147.82,494,10.06072874493927,216,2268.0,70.4251012145749,Overstock
21871,SAVE THE PLANET MUG,6201,7220.95,451,13.78,504,5292.0,96.46,Healthy
21872,GLAMOROUS  MUG,3826,3749.76,194,19.721649484536083,480,5040.0,138.0515463917526,Healthy
21873,IF YOU CAN'T STAND THE HEAT MUG,447,596.57,87,5.137931034482759,24,252.0,35.96551724137931,Healthy
21874,GIN AND TONIC MUG,3493,4283.16,347,10.095375722543352,216,2268.0,70.66763005780346,Healthy
21875,KINGS CHOICE MUG,4799,5516.69,277,17.38768115942029,760,7980.0,121.71376811594203,Healthy
21876,POTTERING MUG,1929,2634.73,310,6.242718446601942,72,756.0,43.699029126213595,Overstock
21877,HOME SWEET HOME MUG,8743,9151.19,421,20.767220902612827,612,6426.0,145.3705463182898,Healthy
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,3068,2419.34,182,16.857142857142858,408,4284.0,118.0,Healthy
21879,HEARTS GIFT TAPE,400,287.24,62,6.451612903225806,60,630.0,45.16129032258064,Healthy
21880,RED AND WHITE SPOT TAPE,483,360.93,71,6.802816901408451,48,504.0,47.61971830985916,Healthy
21880,RED RETROSPOT TAPE,133,94.53,23,5.782608695652174,12,126.0,40.47826086956522,Healthy
21881,CUTE CATS TAPE,243,180.29000000000002,41,5.926829268292683,24,252.0,41.48780487804878,Healthy
21882,SKULLS TAPE,356,254.48000000000002,53,6.716981132075472,36,378.0,47.0188679245283,Healthy
21883,STARS GIFT TAPE ,760,518.33,99,7.6767676767676765,36,378.0,53.73737373737374,Overstock
21884,CAKES AND BOWS GIFT  TAPE,288,258.8,73,3.9452054794520546,12,126.0,27.61643835616438,Overstock
21888,BINGO SET,1893,7493.3,473,4.010593220338983,72,756.0,28.07415254237288,Overstock
21889,WOODEN BOX OF DOMINOES,6822,8765.28,573,11.926573426573427,220,2310.0,83.48601398601399,Overstock
21890,S/6 WOODEN SKITTLES IN COTTON BAG,2391,6951.64,339,7.053097345132743,500,5250.0,49.3716814159292,Healthy
21891,TRADITIONAL WOODEN SKIPPING ROPE,4119,5208.15,434,9.490783410138249,144,1512.0,66.43548387096774,Overstock
21892,TRADITIONAL WOODEN CATCH CUP GAME ,4761,6029.41,432,11.020833333333334,500,5250.0,77.14583333333334,Healthy
21893,POTTING SHED SEED TIN,172,587.8,20,8.6,120,1260.0,60.199999999999996,Healthy
21894,POTTING SHED SEED ENVELOPES,753,975.39,125,6.024,60,630.0,42.168,Healthy
21895,POTTING SHED SOW 'N' GROW SET,555,1718.63,85,6.529411764705882,240,2520.0,45.705882352941174,Healthy
21896,POTTING SHED TWINE,1415,2702.82,185,7.648648648648648,216,2268.0,53.54054054054054,Healthy
21897,POTTING SHED CANDLE CITRONELLA,461,1373.17,103,4.475728155339806,24,252.0,31.330097087378643,Healthy
21898,POTTING SHED ROSE CANDLE,334,997.7000000000002,88,3.7954545454545454,18,189.0,26.568181818181817,Healthy
21899,"KEY FOB , GARAGE DESIGN",4104,2640.11,358,11.495798319327731,625,6562.5,80.47058823529412,Healthy
21900,"KEY FOB , SHED",5230,3425.78,477,10.987394957983193,625,6562.5,76.91176470588235,Healthy
21901,"KEY FOB , BACK DOOR ",4446,2864.07,393,11.37084398976982,625,6562.5,79.59590792838874,Healthy
